,City,Country,Date,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloudiness
280,lata,PT,1588134978,55.0,40.16,-8.33,93,8.05,20
281,xining,CN,1588134978,66.27,36.62,101.77,9,3.44,9
282,saint george,US,1588134904,77.14,37.1,-113.58,19,11.41,1
283,aksarka,RU,1588134786,25.86,66.56,67.8,97,15.41,100
284,inhambane,MZ,1588134980,66.2,-23.86,35.38,93,1.72,40
285,el cobre,CU,1588134980,78.8,20.05,-75.95,74,6.93,20
286,auki,SB,1588134980,86.88,-8.77,160.7,64,2.01,1
287,mayo,US,1588134981,52.93,38.89,-76.51,71,11.41,75
288,banda aceh,ID,1588134981,86.27,5.56,95.32,65,1.63,67
289,katsuura,JP,1588134982,67.39,35.13,140.3,58,5.99,27
290,churapcha,RU,1588134982,34.81,62.0,132.43,90,15.52,100
291,mackay,AU,1588134982,81.03,-21.15,149.2,69,13.87,40
292,saint-pierre,RE,1588134983,75.11,-21.34,55.48,64,12.75,90
293,the valley,AI,1588134885,79.86,18.22,-63.06,69,8.05,20
294,bacolod,PH,1588134984,92.53,10.67,122.95,45,15.93,83
295,fairview,US,1588134985,50.72,40.81,-74.0,76,2.95,1
296,sharjah,AE,1588134985,83.61,25.36,55.4,35,5.82,0
297,aklavik,CA,1588134985,12.2,68.22,-135.01,78,12.75,75
298,caicedo,CO,1588134986,57.92,6.41,-75.98,100,3.36,75
299,klaksvik,FO,1588134986,37.4,62.23,-6.59,78,9.17,98
300,tokmak,UA,1588134987,51.6,47.25,35.71,48,5.82,0
301,taixing,CN,1588134961,84.72,32.17,120.01,33,3.0,0
302,kavieng,PG,1588134988,84.78,-2.57,150.8,70,3.71,98
303,praya,CV,1588134989,71.6,14.92,-23.51,73,14.99,75
304,saskylakh,RU,1588134990,19.78,71.92,114.08,95,5.84,90
305,katobu,ID,1588134990,86.34,-4.94,122.53,59,2.89,81
306,placido de castro,BR,1588134991,73.04,-10.34,-67.19,92,1.92,94
307,esperance,AU,1588134992,57.2,-33.87,121.9,54,18.34,90
308,katherine,AU,1588134992,98.6,-14.47,132.27,23,11.41,40
309,kirakira,SB,1588134993,84.69,-10.45,161.92,73,6.49,25
310,gao,ML,1588134993,83.79,16.64,1.64,13,10.33,4
311,tahe,CN,1588134994,69.51,52.33,124.73,16,12.64,41
312,yaan,NG,1588134994,77.79,7.38,8.57,80,8.9,92
313,samarkand,UZ,1588134995,64.4,39.65,66.96,68,9.17,95
314,zhob,PK,1588134752,82.76,31.34,69.45,16,13.56,2
315,nizwa,OM,1588134995,93.13,22.93,57.53,22,5.14,0
316,kahului,US,1588134996,72.52,20.89,-156.47,61,18.34,20
317,imbituba,BR,1588134996,73.4,-28.24,-48.67,88,10.29,75
318,warah,PK,1588134997,104.45,27.45,67.8,13,7.43,0
319,palmer,US,1588134997,39.4,42.16,-72.33,70,0.76,1
320,juxtlahuaca,MX,1588134997,72.07,17.43,-99.15,46,2.66,77
321,pochutla,MX,1588134998,82.0,15.74,-96.47,75,6.2,68
322,ciudad guayana,VE,1588134998,78.01,8.35,-62.65,76,1.99,72
323,miass,RU,1588135000,45.45,55.05,60.11,72,11.14,94
324,bafata,GW,1588135000,75.94,12.17,-14.75,73,6.13,67
325,rio branco,BR,1588134984,73.4,-9.97,-67.81,100,2.66,85
326,hofn,IS,1588135001,40.21,64.25,-15.21,64,5.03,15
327,tungor,RU,1588135001,42.46,53.38,142.96,65,2.35,0
328,szydlowiec,PL,1588135002,53.69,51.23,20.86,65,7.61,100
329,cutler,US,1588135002,74.57,25.62,-80.31,64,6.93,1
330,sorland,NO,1588135002,39.2,67.67,12.69,64,11.41,75
331,maniitsoq,GL,1588135003,29.68,65.42,-52.9,93,7.36,49
332,zalantun,CN,1588135003,65.73,48.0,122.72,24,12.68,0
333,thatta,PK,1588135004,100.06,24.75,67.92,19,11.92,0
334,tall kayf,TR,1588135004,66.16,37.08,41.07,37,4.07,0
335,rochegda,RU,1588135004,35.02,62.8,43.25,84,4.52,0
336,marawi,PH,1588135005,84.0,8.0,124.29,83,8.01,77
337,husavik,IS,1588135005,28.4,66.04,-17.34,92,4.7,0
338,mogadishu,SO,1588134941,85.82,2.04,45.34,71,9.62,39
339,hobyo,SO,1588135006,86.16,5.35,48.53,72,11.59,20
340,anloga,GH,1588135006,80.6,5.79,0.9,83,4.7,20
341,zaraza,VE,1588135006,76.6,9.35,-65.32,79,7.2,64
342,tamasane,BW,1588135007,62.6,-22.42,27.4,93,5.82,90
343,los llanos de aridane,ES,1588135007,66.2,28.66,-17.92,68,6.93,9
344,biak,ID,1588135007,82.17,-0.91,122.88,73,3.15,94
345,do gonbadan,IR,1588135008,69.8,30.36,50.8,40,4.81,90
346,axim,GH,1588135008,79.63,4.87,-2.24,88,5.48,71
347,aksu,CN,1588135009,81.99,41.12,80.26,10,5.32,55
348,constitucion,CL,1588135009,53.8,-35.33,-72.42,72,7.31,10
349,chyhyryn,UA,1588135010,52.81,49.08,32.66,54,16.98,87
350,valparaiso,CL,1588135010,60.8,-33.04,-71.63,51,11.54,0
351,mlonggo,ID,1588135010,89.55,-6.53,110.7,56,4.07,61
352,faanui,PF,1588135011,82.15,-16.48,-151.75,81,13.31,100
353,udachnyy,RU,1588135011,26.6,66.42,112.4,58,8.95,75
354,port hardy,CA,1588135011,48.2,50.7,-127.42,87,14.99,90
355,pudozh,RU,1588135012,33.37,61.81,36.53,88,9.26,64
356,mafinga,TZ,1588135012,68.22,-7.25,35.07,61,1.72,93
357,bilma,NE,1588135012,86.04,18.69,12.92,12,5.77,12
358,bahia blanca,AR,1588135013,55.71,-38.72,-62.27,61,11.88,24
359,tautira,PF,1588135014,84.09,-17.73,-149.15,74,11.41,96
360,beckley,US,1588135005,56.1,37.78,-81.19,58,8.05,1
361,sabinas hidalgo,MX,1588135014,75.24,26.5,-100.17,50,9.01,96
362,matay,EG,1588135015,62.76,28.42,30.78,58,13.69,57
363,lubango,AO,1588135015,58.21,-14.92,13.49,38,3.15,3
364,dodge city,US,1588134740,54.79,37.75,-100.02,58,8.05,1
365,hami,CN,1588135016,88.65,42.8,93.45,7,6.53,0
366,provideniya,RU,1588135016,28.4,64.38,-173.3,68,2.24,90
367,padang,ID,1588135017,87.3,-0.95,100.35,59,5.39,16
368,superior,US,1588134999,39.36,46.72,-92.1,93,18.34,90
369,garden city,US,1588135017,54.25,42.33,-83.33,81,6.93,90
370,goba,ET,1588135018,58.15,7.02,39.98,35,1.63,83
371,gusau,NG,1588135019,82.06,12.16,6.66,42,12.88,0
372,ust-uda,RU,1588135019,68.83,54.17,103.03,31,6.4,82
373,ambo,PE,1588135019,57.04,-10.13,-76.2,35,0.69,29
374,iisalmi,FI,1588135020,30.2,63.56,27.19,74,8.05,90
375,tuscaloosa,US,1588134787,69.89,33.21,-87.57,56,11.41,1
376,christchurch,NZ,1588134920,61.52,-43.53,172.63,55,3.36,3
377,cabano,PH,1588135022,87.96,10.59,122.7,60,20.6,91
378,carberry,CA,1588135023,41.0,49.87,-99.36,93,4.7,90
379,ygatimi,PY,1588135024,72.23,-24.08,-55.5,63,5.14,60
380,maumelle,US,1588135024,60.44,34.87,-92.4,91,5.82,64
381,svetlaya,RU,1588135025,54.48,46.54,138.33,43,3.27,37
382,blagoyevo,RU,1588135025,34.97,63.37,47.92,91,4.81,100
383,porto novo,BJ,1588135026,82.4,6.5,2.6,83,8.05,20
384,sioux lookout,CA,1588135026,41.0,50.1,-91.92,86,6.93,90
385,hit,IQ,1588135027,76.19,33.64,42.83,29,9.4,100
386,narragansett,US,1588135027,38.17,41.45,-71.45,86,4.88,1
387,fairbanks,US,1588135028,42.19,64.84,-147.72,26,5.82,75
388,vallenar,CL,1588135029,58.23,-28.57,-70.76,49,0.25,0
389,sabang,ID,1588135029,84.22,5.89,95.32,70,6.55,49
390,porto belo,BR,1588135030,75.0,-27.16,-48.55,81,7.2,12
391,taoudenni,ML,1588135030,83.59,22.68,-3.98,14,9.06,17
392,carlyle,US,1588135031,60.01,38.61,-89.37,95,10.94,99
393,iracoubo,GF,1588135031,78.58,5.48,-53.2,84,9.62,88
394,inuvik,CA,1588135032,12.2,68.35,-133.72,78,12.75,75
395,altus,US,1588135032,69.1,34.64,-99.33,49,12.75,1
396,ulaanbaatar,MN,1588135032,68.0,47.91,106.88,22,6.71,97
397,bengkulu,ID,1588135033,85.39,-3.8,102.27,66,6.38,7
398,andenes,NO,1588135034,33.8,69.31,16.12,59,12.75,0
399,lompoc,US,1588135034,56.35,34.64,-120.46,87,3.36,1
400,bangolo,CI,1588135034,71.94,7.01,-7.47,91,2.39,88
401,vao,NC,1588135035,75.72,-22.67,167.48,78,22.37,31
402,rybinsk,RU,1588135035,35.06,58.04,38.84,92,17.56,100
403,mitsamiouli,KM,1588135035,83.91,-11.38,43.28,69,5.06,63
404,pevek,RU,1588135036,28.56,69.7,170.31,95,3.29,100
405,ambon,ID,1588135036,82.0,-3.7,128.18,97,8.84,64
406,puerto escondido,MX,1588135037,81.0,15.85,-97.07,67,5.84,97
407,road town,VG,1588134785,77.68,18.42,-64.62,88,8.99,6
408,tono,JP,1588135037,60.8,39.32,141.53,31,13.87,75
409,sindor,RU,1588135037,34.32,62.86,51.89,92,5.75,100
410,lorengau,PG,1588135038,85.78,-2.02,147.27,68,5.12,4
411,zomin,UZ,1588135039,67.91,39.96,68.4,50,4.94,86
412,evanston,US,1588134764,53.2,42.04,-87.69,93,4.7,90
413,pitsunda,GE,1588135039,49.91,43.16,40.34,53,13.42,3
414,pasighat,IN,1588135040,74.52,28.07,95.33,70,3.53,100
415,houma,US,1588134765,64.45,29.6,-90.72,100,9.17,90
416,erzin,TR,1588135040,61.0,36.96,36.2,86,0.51,0
417,amahai,ID,1588135040,82.0,-3.33,128.92,97,3.49,97
418,araouane,ML,1588135041,83.5,18.9,-3.53,14,11.97,45
419,oussouye,SN,1588135042,73.47,12.48,-16.55,78,6.93,16
420,wanning,CN,1588135042,81.57,18.8,110.4,72,8.9,97
421,dubbo,AU,1588135042,73.4,-32.25,148.62,60,11.41,90
422,acajutla,SV,1588135043,75.0,13.59,-89.83,89,7.65,39
423,huarmey,PE,1588135043,68.43,-10.07,-78.15,79,5.41,0
424,sigli,ID,1588135044,82.85,5.38,95.96,70,2.3,89
425,chatra,IN,1588135044,80.6,24.22,84.87,65,4.7,0
426,kudahuvadhoo,MV,1588135045,85.17,2.67,72.89,71,7.96,88
427,porto velho,BR,1588134864,77.0,-8.76,-63.9,94,1.63,40
428,anadyr,RU,1588135045,21.09,64.75,177.48,85,6.71,75
429,puri,IN,1588135046,86.0,19.8,85.85,66,1.12,40
430,vestmannaeyjar,IS,1588135046,40.42,63.44,-20.27,75,6.06,0
431,walvis bay,NA,1588135047,50.0,-22.96,14.51,93,1.12,0
432,petropavlovsk-kamchatskiy,RU,1588135047,46.4,53.05,158.65,36,20.13,3
433,kargil,IN,1588135047,44.46,34.57,76.1,16,2.35,38
434,kuusamo,FI,1588135048,24.8,65.97,29.18,85,6.93,75
435,yar-sale,RU,1588135048,26.24,66.83,70.83,97,14.14,98
436,balaguer,ES,1588135049,47.84,41.79,0.81,100,6.93,16
437,san rafael del sur,NI,1588135049,79.72,11.85,-86.44,64,11.88,60
438,sfantu gheorghe,RO,1588135050,45.41,45.87,25.78,80,1.01,0
439,abaza,RU,1588135050,82.78,52.66,90.09,22,5.55,99
440,ukiah,US,1588135050,62.78,39.15,-123.21,43,3.36,1
441,vostok,RU,1588135051,53.31,46.49,135.88,32,13.69,49
442,camana,PE,1588135051,67.75,-16.62,-72.71,77,6.33,87
443,batagay-alyta,RU,1588135052,20.86,67.8,130.41,90,6.49,100
444,canakkale,TR,1588135052,57.25,40.08,26.83,58,2.26,96
445,krivosheino,RU,1588134786,64.78,57.34,83.93,68,13.22,100
446,carbonia,IT,1588135052,58.39,39.17,8.52,82,4.7,20
447,neuquen,AR,1588135053,55.4,-38.95,-68.06,58,16.11,0
448,whitianga,NZ,1588135054,68.0,-36.83,175.7,72,1.99,44
449,menongue,AO,1588135054,56.61,-14.66,17.69,54,2.26,0
450,deputatskiy,RU,1588135054,20.64,69.3,139.9,92,5.86,100
451,palana,RU,1588135055,27.99,59.12,159.97,95,5.37,87
452,maposeni,TZ,1588135055,64.4,-10.58,35.4,93,3.36,20
453,lyubashivka,UA,1588135055,51.35,47.84,30.26,55,16.13,44
454,dombarovskiy,RU,1588135056,49.8,50.76,59.54,57,19.44,68
455,igrim,RU,1588135056,36.12,63.19,64.42,93,11.18,100
456,manjacaze,MZ,1588135056,66.99,-24.71,33.88,91,3.18,87
457,hauterive,FR,1588135057,49.24,46.09,3.45,81,5.82,75
458,vryburg,ZA,1588135057,47.95,-26.96,24.73,59,3.27,0
459,tamworth,GB,1588135057,42.22,52.63,-1.7,93,4.7,100
460,mongo,TD,1588135058,83.08,12.18,18.69,24,3.31,100
461,revda,RU,1588135059,50.0,56.8,59.93,71,15.66,40
462,grenaa,DK,1588135059,33.64,56.42,10.88,100,1.12,90
463,ixtapa,MX,1588135059,70.21,20.7,-105.2,39,2.75,72
464,maturin,VE,1588135060,72.18,9.75,-63.18,88,5.66,31
465,kishi,NG,1588135060,75.69,9.08,3.85,74,9.26,60
466,ribeira grande,PT,1588135060,58.86,38.52,-28.7,66,15.37,91
467,marsh harbour,BS,1588134915,72.54,26.54,-77.06,74,18.75,21
468,acapulco,MX,1588135006,77.0,16.86,-99.89,88,3.36,20
469,dalgopol,BG,1588135061,49.15,43.05,27.35,93,1.12,68
470,iqaluit,CA,1588135062,30.09,63.75,-68.51,86,12.75,90
471,weyburn,CA,1588135062,37.0,49.67,-103.85,90,3.0,5
472,zacualpan,MX,1588135062,74.53,21.25,-105.17,45,5.97,42
473,evans,US,1588135063,64.49,33.53,-82.13,63,6.93,1
474,guaranda,EC,1588135064,53.73,-1.6,-79.0,37,3.65,63
475,putina,PE,1588135064,42.08,-15.47,-69.43,28,1.21,87
476,sembakung,ID,1588135064,90.01,3.82,117.25,63,2.13,6
477,santa maria,BR,1588135065,69.8,-29.68,-53.81,77,3.36,2
478,ewa beach,US,1588134865,79.36,21.32,-158.01,54,9.17,1
479,bagn,NO,1588135066,27.12,60.82,9.55,88,2.01,1
480,phan thiet,VN,1588135066,92.64,10.93,108.1,44,15.48,89
481,anau,PF,1588135067,82.22,-16.52,-151.73,81,13.33,100
482,villacarrillo,ES,1588135067,55.0,38.12,-3.08,74,0.96,14
483,wajir,KE,1588135068,78.8,1.75,40.06,88,11.48,75
484,vardo,NO,1588135068,26.6,70.37,31.11,73,8.05,40
485,nisia floresta,BR,1588135069,76.14,-6.09,-35.21,88,2.24,20
486,villanueva de la serena,ES,1588135069,48.99,38.98,-5.8,84,3.0,29
487,sarahan,IN,1588135070,63.3,31.52,77.8,21,5.66,0
488,chokwe,MZ,1588135070,67.05,-24.53,32.98,94,4.18,62
489,elizabeth city,US,1588135072,60.62,36.29,-76.25,72,6.93,1
490,balkhash,KZ,1588135072,59.0,46.84,74.98,62,17.9,75
491,lamar,US,1588135072,62.2,33.67,-95.58,88,14.99,75
492,saint-augustin,CA,1588135073,29.46,51.23,-58.65,96,4.43,11
493,bambous virieux,MU,1588135073,73.69,-20.34,57.76,64,12.75,75
494,veraval,IN,1588135074,90.03,20.9,70.37,47,7.74,0
495,bogorodskoye,RU,1588135074,45.19,56.55,37.88,89,13.8,100
496,ouadda,CF,1588135075,71.55,8.08,22.4,72,5.86,99
497,tuntum,BR,1588135075,71.92,-5.26,-44.65,93,2.86,100
498,carballo,ES,1588135075,53.62,43.21,-8.69,92,8.99,100
499,chaumont,FR,1588135076,50.0,48.12,5.13,87,12.46,98
500,matadi,CD,1588135076,76.32,-5.82,13.45,88,0.54,62
501,rawson,AR,1588135076,55.56,-43.3,-65.1,72,9.24,6
502,flinders,AU,1588135077,74.71,-34.58,150.86,69,4.0,99
503,scarborough,GB,1588135077,38.64,54.28,-0.4,89,2.26,95
504,mbalmayo,CM,1588135077,67.95,3.52,11.5,81,1.45,52
505,leiyang,CN,1588135078,88.54,26.4,112.86,34,7.76,14
506,swellendam,ZA,1588135078,48.2,-34.02,20.44,93,5.82,0
507,gizo,SB,1588135078,85.59,-8.1,156.84,70,4.05,51
508,ancud,CL,1588135079,54.27,-41.87,-73.82,100,6.93,90
509,zhigansk,RU,1588135079,27.63,66.77,123.37,88,18.37,43
510,jijiang,CN,1588134965,84.07,29.29,106.25,37,6.71,75
511,nishihara,JP,1588135080,72.81,26.18,127.76,60,10.29,75
512,najran,SA,1588135080,82.4,17.49,44.13,42,4.7,20
513,mamallapuram,IN,1588135081,86.0,12.63,80.17,66,10.29,40
514,visby,SE,1588135081,35.37,57.64,18.3,69,11.41,29
515,magistralnyy,RU,1588135081,69.46,56.17,107.45,20,2.17,62
516,zeya,RU,1588134784,68.34,53.75,127.27,20,10.76,100
517,rockland,US,1588135082,44.91,41.17,-74.05,72,1.95,58
518,cherskiy,RU,1588135083,27.95,68.75,161.3,97,6.04,100
519,fomboni,KM,1588135083,84.27,-12.28,43.74,77,13.76,99
520,awbari,LY,1588135085,74.19,26.59,12.78,20,8.66,5
521,mitu,CO,1588135086,73.71,1.2,-70.17,86,0.74,68
522,virginia beach,US,1588134999,55.76,36.85,-75.98,87,5.82,20
523,isla mujeres,MX,1588135087,80.29,21.23,-86.73,83,9.17,75
524,erdenet,MN,1588135088,69.82,49.03,104.08,20,17.07,53
525,dingle,PH,1588135088,92.48,11.0,122.67,48,13.02,100
526,cabral,DO,1588135088,77.36,18.25,-71.22,70,2.53,53
527,beidao,CN,1588135089,80.22,34.57,105.89,15,4.7,100
528,praia,CV,1588135089,71.6,14.92,-23.51,73,14.99,75
529,kalanguy,RU,1588135090,61.03,51.02,116.52,24,13.24,94
530,berlevag,NO,1588135091,29.41,70.86,29.09,93,1.72,63
531,marsaxlokk,MT,1588135091,62.55,35.84,14.54,100,6.93,20
532,hanamaki,JP,1588135092,60.8,39.38,141.12,31,13.87,75
533,dillon,US,1588135092,64.11,34.42,-79.37,68,9.17,40
534,havelock,US,1588134916,66.87,34.88,-76.9,60,9.17,1
535,tilichiki,RU,1588135093,28.63,60.47,166.1,96,6.2,62
536,caucaia,BR,1588135093,77.0,-3.74,-38.65,94,3.36,40
537,sinazongwe,ZM,1588135094,69.91,-17.26,27.46,52,3.06,5
538,lerwick,GB,1588135094,40.1,60.15,-1.15,93,9.17,91
539,port townsend,US,1588135094,49.57,48.12,-122.76,93,5.41,75
540,lazaro cardenas,MX,1588135095,75.63,17.96,-102.2,80,1.74,0
541,yabrud,SY,1588135096,50.2,33.97,36.66,87,10.29,19
542,karatuzskoye,RU,1588135096,78.19,53.61,92.87,37,5.64,100
543,vilhena,BR,1588135097,68.72,-12.74,-60.15,80,2.8,25
544,kimberley,ZA,1588135097,46.4,-28.73,24.76,100,1.12,0
545,ribeirao branco,BR,1588135097,57.52,-24.22,-48.77,74,0.56,56
546,ochsenfurt,DE,1588135098,49.91,49.66,10.06,100,10.29,90
547,sao filipe,CV,1588135098,74.35,14.9,-24.5,74,9.35,93
548,kharan,PK,1588135099,91.65,28.58,65.42,17,10.51,7
549,hualmay,PE,1588135099,66.79,-11.1,-77.61,80,3.91,0
550,nioro,GM,1588135099,76.93,13.35,-15.75,31,2.77,14
551,odweyne,SO,1588135100,76.64,9.41,45.06,48,9.84,28
552,oistins,BB,1588135101,77.0,13.07,-59.53,83,10.29,75
553,ust-nera,RU,1588135101,32.31,64.57,143.2,73,3.42,99
554,paita,PE,1588135101,71.04,-5.09,-81.11,74,9.82,0
555,ayan,RU,1588135102,37.94,56.45,138.17,73,8.68,5
556,souillac,MU,1588134858,73.4,-20.52,57.52,64,12.75,75
557,tevriz,RU,1588135102,59.81,57.51,72.4,78,6.64,100
558,zandvoort,NL,1588135103,46.06,52.37,4.53,93,2.24,75
559,chilmari,BD,1588135104,87.13,25.56,89.67,44,4.63,0
560,kalmunai,LK,1588135104,89.47,7.42,81.82,59,7.83,31
561,sorong,ID,1588135105,79.39,-0.88,131.25,89,14.41,100
562,kovdor,RU,1588135105,26.91,67.57,30.48,92,2.8,19
